"doc_id","sentence_id","word","brand"
47,1,"pick","bj"
47,1,"flavor","bj"
47,1,"love","bj"
47,1,"carmel","bj"
47,2,"bad","bj"
47,2,"flavor","bj"
47,3,"blonde","bj"
47,3,"bland","bj"
47,3,"carmel","bj"
47,3,"bad","bj"
47,4,"salty","bj"
47,4,"eat","bj"
48,1,"love","bj"
48,1,"excited","bj"
48,1,"salty","bj"
48,2,"eat","bj"
48,3,"salty","bj"
48,3,"flavor","bj"
48,3,"powerful","bj"
48,4,"disappointed","bj"
49,1,"time","bj"
49,1,"today","bj"
49,2,"salty","bj"
49,3,"salty","bj"
49,3,"enjoy","bj"
49,4,"leave","bj"
49,4,"bad","bj"
49,4,"taste","bj"
49,5,"positive","bj"
49,5,"note","bj"
49,5,"gooey","bj"
49,5,"easy","bj"
49,5,"scoop","bj"
49,5,"spoon","bj"
50,1,"stand","bj"
50,1,"flavor","bj"
50,2,"like","bj"
50,2,"eat","bj"
50,2,"stale","bj"
50,3,"minority","bj"
50,4,"stop","bj"
50,4,"convenience","bj"
50,4,"store","bj"
50,4,"carry","bj"
50,4,"type","bj"
51,1,"hope","bj"
51,1,"flavor","bj"
51,1,"carmel","bj"
51,1,"salty","bj"
51,2,"hope","bj"
51,2,"sweet","bj"
51,2,"kraft","bj"
51,2,"taste","bj"
51,3,"blonde","bj"
51,3,"bite","bj"
51,3,"traditional","bj"
51,3,"flavor","bj"
51,4,"buy","bj"
52,1,"love","bj"
52,1,"horrible","bj"
52,2,"picture","bj"
52,2,"like","bj"
52,2,"ton","bj"
52,2,"tiny","bj"
52,2,"bite","bj"
52,2,"pint","bj"
52,3,"overly","bj"
52,3,"salty","bj"
53,1,"favourite","bj"
53,1,"flavour","bj"
53,2,"salty","bj"
53,2,"blondie","bj"
53,2,"bit","bj"
53,2,"chewy","bj"
53,3,"love","bj"
53,4,"disappointment","bj"
53,4,"fact","bj"
53,4,"time","bj"
53,5,"bottom","bj"
53,6,"thick","bj"
53,6,"gooey","bj"
53,6,"bite","bj"
