"doc_id","word","brand"
53,"chewy","bj"
53,"love","bj"
53,"disappointment","bj"
53,"fact","bj"
53,"time","bj"
53,"bottom","bj"
53,"thick","bj"
53,"gooey","bj"
53,"bite","bj"
53,"time","bj"
53,"find","bj"
53,"end","bj"
53,"pint","bj"
53,"container","bj"
53,"bring","bj"
53,"back","bj"
54,"enjoy","bj"
54,"flavor","bj"
54,"expect","bj"
54,"label","bj"
54,"read","bj"
54,"expect","bj"
54,"top","bj"
54,"bottom","bj"
54,"like","bj"
54,"apple","bj"
54,"middle","bj"
54,"top","bj"
54,"bottom","bj"
54,"center","bj"
54,"thing","bj"
55,"taste","bj"
55,"like","bj"
55,"salty","bj"
55,"death","bj"
55,"poisoning","bj"
55,"bite","bj"
55,"gross","bj"
55,"heck","bj"
55,"like","bj"
55,"people","bj"
55,"pass","bj"
55,"taste","bj"
55,"test","bj"
55,"tongue","bj"
55,"blind","bj"
56,"find","bj"
56,"shortly","bj"
56,"discover","bj"
56,"needless","bj"
56,"fall","bj"
56,"love","bj"
56,"flavor","bj"
56,"amazing","bj"
56,"gooey","bj"
56,"blondie","bj"
56,"perfect","bj"
56,"pints","bj"
56,"buy","bj"
56,"fall","bj"
56,"short","bj"
56,"stop","bj"
56,"halfway","bj"
56,"pocket","bj"
56,"air","bj"
56,"bottom","bj"
56,"leave","bj"
56,"unhappy","bj"
57,"care","bj"
57,"miss","bj"
57,"like","bj"
57,"like","bj"
58,"sweet","bj"
58,"blondie","bj"
58,"delicious","bj"
58,"salty","bj"
58,"eat","bj"
58,"taste","bj"
58,"completely","bj"
58,"overpower","bj"
58,"flavor","bj"
59,"taste","bj"
59,"like","bj"
59,"flavour","bj"
59,"floury","bj"
59,"blonde","bj"
59,"piece","bj"
59,"taste","bj"
59,"bad","bj"
59,"flavour","bj"
59,"disappointed","bj"
60,"purchase","bj"
60,"flavor","bj"
60,"lot","bj"
60,"honestly","bj"
60,"live","bj"
60,"recently","bj"
60,"punt","bj"
60,"lack","bj"
60,"bottom","bj"
60,"pint","bj"
60,"blondie","bj"
60,"miss","bj"
60,"like","bj"
60,"spoon","bj"
60,"piece","bj"
60,"blondie","bj"
60,"like","bj"
60,"live","bj"
60,"flavor","bj"
60,"hope","bj"
60,"manufacturing","bj"
60,"back","bj"
60,"find","bj"
60,"flavor","bj"
60,"fall","bj"
60,"love","bj"
61,"disappointingly","bj"
61,"tasteless","bj"
61,"salty","bj"
61,"intense","bj"
61,"swirl","bj"
61,"bite","bj"
62,"love","bj"
62,"overwhelmingly","bj"
62,"salty","bj"
62,"eat","bj"
63,"forward","bj"
63,"flavor","bj"
63,"find","bj"
63,"salty","bj"
63,"ocean","bj"
63,"love","bj"
63,"bad","bj"
64,"typically","bj"
64,"love","bj"
64,"dessert","bj"
64,"general","bj"
64,"eager","bj"
64,"knock","bj"
64,"saltiness","bj"
64,"overpower","bj"
64,"combined","bj"
64,"flavor","bj"
64,"sweet","bj"
64,"agree","bj"
64,"reviewer","bj"
64,"balance","bj"
64,"like","bj"
64,"blondie","bj"
64,"close","bj"
65,"flavor","bj"
65,"great","bj"
65,"work","bj"
65,"work","bj"
65,"concept","bj"
65,"evenly","bj"
65,"distribute","bj"
65,"isolate","bj"
65,"pool","bj"
65,"blondie","bj"
65,"pack","bj"
65,"bit","bj"
65,"flavor","bj"
65,"variety","bj"
65,"flavor","bj"
65,"taste","bj"
65,"flavor","bj"
65,"evenly","bj"
65,"distribute","bj"
65,"taste","bj"
65,"like","bj"
65,"cheap","bj"
65,"knockoff","bj"
66,"buy","bj"
66,"favor","bj"
66,"couple","bj"
66,"day","bj"
66,"ago","bj"
66,"bad","bj"
66,"everything","bj"
66,"great","bj"
66,"salty","bj"
66,"drown","bj"
66,"favor","bj"
66,"salty","bj"
66,"leave","bj"
66,"nasty","bj"
66,"taste","bj"
66,"mouth","bj"
66,"watch","bj"
66,"intake","bj"
66,"eat","bj"
66,"favor","bj"
67,"buy","bj"
67,"day","bj"
67,"excited","bj"
67,"salty","bj"
67,"love","bj"
67,"rave","bj"
67,"pretty","bj"
67,"confused","bj"
67,"bad","bj"
67,"pint","bj"
67,"like","bj"
67,"essence","bj"
67,"sooo","bj"
67,"overpoweringly","bj"
67,"salty","bj"
67,"time","bj"
67,"avoid","bj"
67,"swirl","bj"
70,"husband","bj"
70,"evening","bj"
70,"feel","bj"
70,"like","bj"
70,"head","bj"
70,"store","bj"
70,"trusty","bj"
70,"decide","bj"
70,"flavor","bj"
70,"description","bj"
70,"sound","bj"
70,"delicious","bj"
70,"delicious","bj"
70,"discover","bj"
70,"dollop","bj"
70,"top","bj"
70,"inch","bj"
70,"vanish","bj"
70,"leave","bj"
70,"blondie","bj"
70,"pretty","bj"
70,"stuff","bj"
70,"disappointed","bj"
70,"lack","bj"
71,"carmel","bj"
71,"salty","bj"
71,"tire","bj"
71,"firs","bj"
71,"hate","bj"
71,"salty","bj"
71,"decide","bj"
71,"formula","bj"
71,"tweak","bj"
71,"nope","bj"
71,"salty","bj"
71,"like","bj"
71,"scoop","bj"
71,"eat","bj"
73,"delicious","bj"
73,"down","bj"
73,"literally","bj"
73,"disappear","bj"
73,"blonde","bj"
73,"chi","bj"
73,"class","bj"
73,"buy","bj"
73,"kind","bj"
73,"feel","bj"
73,"like","bj"
73,"jippe","bj"
75,"like","bj"
75,"die","bj"
75,"hard","bj"
75,"fan","bj"
75,"great","bj"
75,"base","bj"
75,"yummy","bj"
75,"overpowering","bj"
75,"flavor","bj"
75,"blondie","bj"
75,"chuck","bj"
75,"center","bj"
75,"taste","bj"
75,"like","bj"
75,"pure","bj"
75,"table","bj"
75,"top","bj"
75,"point","bj"
75,"end","bj"
75,"eat","bj"
75,"flavor","bj"
76,"favorite","bj"
