doc_id,brand,X1,X2,y_dmm_5,y_kmeans_5,y_manual_5,y_dmm_10,y_kmeans_10
19297,breyers,35.548767,-18.139841,3,1,0,7,4
19299,breyers,-25.073809,17.861872,0,1,0,6,4
19300,breyers,32.80704,-3.350227,2,1,4,8,4
19310,breyers,14.564558,-42.562332,3,3,4,0,7
19311,breyers,36.23102,-23.167524,3,3,4,0,7
19316,breyers,38.710266,-1.2773255,4,1,3,0,4
19317,breyers,12.732924,-44.046413,3,3,3,0,7
19318,breyers,12.382578,-37.118057,3,1,4,0,4
19324,breyers,23.303144,22.969847,3,1,4,0,4
19325,breyers,8.072576,-43.003292,3,4,0,0,3
19326,breyers,4.8847656,2.995553,3,0,2,0,1
19329,breyers,9.310482,-35.864693,3,1,0,0,4
19331,breyers,10.692215,-42.80578,3,3,0,0,7
19333,breyers,14.906799,-22.856903,3,1,0,0,4
19334,breyers,10.09367,-39.301815,3,1,0,0,4
19335,breyers,25.7494,24.21501,0,1,0,0,4
19337,breyers,-39.056896,5.3665757,4,2,0,7,6
19338,breyers,14.372397,-13.113315,3,1,2,0,4
19343,breyers,1.3958874,-8.35621,3,1,4,0,4
19353,breyers,12.424589,-37.146893,3,1,4,0,4
19360,breyers,-38.814674,3.7410934,4,2,3,7,6
19361,breyers,1.8928906,-34.574673,4,0,4,9,1
19362,breyers,-32.680565,-10.777908,3,2,0,1,3
19363,breyers,-13.133701,23.551775,3,0,0,4,1
19364,breyers,-26.05577,4.824283,3,1,4,0,4
19365,breyers,5.6238294,30.95291,3,4,0,0,8
19367,breyers,23.031488,0.5631361,0,1,0,5,4
19368,breyers,-30.568121,-2.3935137,3,0,4,0,1
19369,breyers,13.957679,12.571945,3,0,4,1,1
19370,breyers,-13.549338,-21.558954,3,1,0,0,3
19371,breyers,-38.300156,-1.6244063,2,2,0,3,6
19372,breyers,42.71052,-19.950956,3,4,4,1,8
19373,breyers,-14.797317,-1.8907372,3,0,0,0,2
19374,breyers,-36.779045,-3.5121212,3,2,0,0,6
19375,breyers,10.722429,-43.857952,3,3,4,0,7
19376,breyers,23.134949,19.344646,2,1,1,4,4
19377,breyers,-12.831057,-20.818192,3,1,0,0,3
19379,breyers,13.16988,-34.956463,3,1,4,0,3
19380,breyers,25.017006,6.173453,2,1,4,1,4
19381,breyers,-9.462481,41.261074,3,4,0,4,8
19382,breyers,21.261978,-9.16528,3,1,0,0,4
19383,breyers,17.599358,13.585547,4,0,0,3,1
19384,breyers,28.474228,1.0997149,1,1,2,0,4
19385,breyers,37.332355,-20.662111,3,1,4,0,4
19386,breyers,-30.00824,-7.3955393,3,0,0,0,1
19387,breyers,-31.654894,-5.1718154,3,2,4,1,6
19388,breyers,36.545925,-22.613302,3,0,4,0,1
19389,breyers,11.467197,5.5280013,3,0,3,8,1
19390,breyers,-27.697254,14.4118595,2,1,0,1,4
19391,breyers,-32.489685,-8.875084,4,2,0,9,6
19392,breyers,10.615551,32.613358,1,4,4,0,8
19393,breyers,-30.38996,-4.9384766,3,0,0,0,1
19394,breyers,12.565938,7.2121043,3,0,3,0,1
19395,breyers,11.380261,12.67521,0,0,4,0,1
19397,breyers,1.8856866,32.345253,2,4,0,4,8
19398,breyers,-26.927418,11.172599,1,2,3,1,6
19400,breyers,9.038107,-37.187828,4,3,2,9,7
